Combined,NA
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Fleeing,Armed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Not fleeing,Armed,Other,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,True,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,>40
Fleeing,Armed,White,True,attack,Fleeing,True,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,<40
Not fleeing,Unarmed,Hispanic,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,other,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,True,undetermined,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Unarmed,Other,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Unarmed,White,False,attack,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,True,>40
Fleeing,Armed,White,True,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,True,attack,Fleeing,False,<40
Fleeing,Armed,Hispanic,False,other,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,>40
Not fleeing,Unarmed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,other,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,True,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,True,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Not fleeing,Unarmed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Fleeing,Unarmed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,False,>40
Not fleeing,Armed,Hispanic,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
Not fleeing,Armed,Black,False,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Hispanic,False,attack,Fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Unarmed,Black,False,other,Fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Native,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,White,True,attack,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Fleeing,Armed,Hispanic,True,other,Fleeing,False,>40
Not fleeing,Armed,Black,True,attack,Not fleeing,False,<40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,>40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Not fleeing,Unarmed,Hispanic,True,other,Not fleeing,False,<40
Not fleeing,Armed,White,True,other,Not fleeing,False,>40
Fleeing,Armed,White,False,attack,Fleeing,False,>40
Not fleeing,Armed,Hispanic,False,attack,Not fleeing,False,<40
Not fleeing,Armed,White,True,attack,Not fleeing,False,<40
Fleeing,Armed,Black,False,attack,Fleeing,False,<40
Fleeing,Unarmed,White,False,other,Fleeing,False,<40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Fleeing,Armed,White,True,other,Fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,<40
Not fleeing,Armed,Black,False,attack,Not fleeing,True,<40
Not fleeing,Unarmed,Black,True,other,Not fleeing,False,>40
Not fleeing,Armed,White,False,attack,Not fleeing,False,>40
